parada/est.metro,Subidas día laboral por parada,Bajadas día Laboral por parada,comuna,Referencia,diseno_777,x,y
L-24-19-OP-15,35.56,30.05,SAN RAMÓN,JUAN ANTONIO RíOS / DOñIHUE,351,347774,6287924
L-24-19-PO-20,21.47,19.69,SAN RAMÓN,PEDRO AGUIRRE C. / DOñIHUE,351,347967,6287876
L-24-19-OP-25,27.44,12.72,SAN RAMÓN,PEDRO AGUIRRE C. / DOñIHUE,351,347968,6287885
L-24-19-OP-30,4.98,52.56,SAN RAMÓN,SANTA JUANA / DOñIHUE,351,348204,6287899
L-24-19-PO-35,18.23,97.86,SAN RAMÓN,SANTA ROSA / DOñIHUE,351,348221,6287889
L-22-29-PO-5,218.53,24.07,LA GRANJA,QUILPUé / SAN GREGORIO,351,348247,6287913
T-26-224-NS-5,26.74,169.44,LA CISTERNA,TORREBLANCA / SAN FRANCISCO,352,346576,6286787
T-24-224-SN-15,96.27,16.99,SAN RAMÓN,ALPATACAL / SAN FRANCISCO,352,346623,6286867
T-24-354-PO-5,3.24,148.14,SAN RAMÓN,EMILIANO FIGUEROA / VICUñA MACKENNA,352,346730,6287055
T-24-355-OP-3,175.99,225.56,SAN RAMÓN,LA BANDERA / AV. OSSA,352,347328,6287379
T-24-355-OP-5,66.43,7.94,SAN RAMÓN,PARQUE AUTOMOTRIZ / AV. OSSA,352,347145,6287407
T-24-355-PO-5,5.69,94.67,SAN RAMÓN,LA BANDERA / AV. OSSA,352,347108,6287390
T-24-356-OP-10,218.39,28.28,SAN RAMÓN,SAN FRANCISCO / ALPATACAL,352,346626,6286897
T-24-357-SN-5,166.69,19.28,SAN RAMÓN,GOYCOLEA / CERRO NEGRO,352,346649,6287212
T-24-357-SN-10,44.13,8.06,SAN RAMÓN,OSSA / CERRO NEGRO,352,346698,6287442
T-24-12-PO-5,10.43,45.12,SAN RAMÓN,AV. LA BANDERA / VESPUCIO,352,347107,6287523
T-24-12-PO-10,175.76,352.07,SAN RAMÓN,(M) SAN RAMÓN,352,347442,6287472
T-24-12-OP-20,234.48,78.43,SAN RAMÓN,LA GRANJA / VESPUCIO,352,346733,6287647
L-24-21-OP-5,10.61,4.70,SAN RAMÓN,CERRO NEGRO / GOYCOLEA,352,346678,6287265
L-24-22-SN-40,70.25,4.14,SAN RAMÓN,ALPATACAL / ISMAEL TOCORNAL,352,346814,6286849
L-24-22-NS-45,268.81,94.14,SAN RAMÓN,ALPATACAL / ISMAEL TOCORNAL,352,346802,6286880
L-24-22-SN-50,25.80,4.50,SAN RAMÓN,VICUñA MACKENNA / ISMAEL TOCORNAL,352,346836,6287034
L-24-22-SN-55,26.20,92.39,SAN RAMÓN,GOYCOLEA / ISMAEL TOCORNAL,352,346869,6287214
L-24-27-PO-5,3.58,22.01,SAN RAMÓN,ISMAEL TOCORNAL / VICUñA MACKENNA,352,346811,6287044
L-24-9-NS-5,317.24,138.73,SAN RAMÓN,GOYCOLEA / LA BANDERA,352,347265,6287188
L-24-9-NS-10,28.90,66.18,SAN RAMÓN,VICUñA MACKENNA / LA BANDERA,352,347235,6286999
L-24-9-NS-15,20.45,115.62,SAN RAMÓN,ALPATACAL / LA BANDERA,352,347208,6286810
L-24-9-NS-20,6.80,122.92,SAN RAMÓN,RIQUELME / LA BANDERA,352,347172,6286615
